name,pos,team,adp,ecr,proj,tier,fp_adp,yahoo_adp
Omar Cooper Jr.,WR,NYJ,184.2,174,0,7,185.3,182.0
Emmett Johnson,RB,KC,165.4,161,0,7,202.0,
Jacoby Brissett,QB,ARI,172.1,181,0,8,213.0,
Ryan Flournoy,WR,DAL,166.7,177,0,7,257.5,
Terrance Ferguson,TE,LAR,173.0,173,0,7,194.7,151.0
Sean Tucker,RB,TB,229.0,195,0,8,229.0,
Pat Bryant,WR,DEN,230.0,178,0,8,230.0,
Malik Washington,WR,MIA,148.4,180,0,8,182.0,
Keenan Allen,WR,IND,145.3,176,0,7,182.0,127.0
Kenyon Sadiq,TE,NYJ,177.9,179,0,8,176.3,181.0
Jaylin Noel,WR,HOU,184.0,186,0,8,184.0,
Gunnar Helm,TE,TEN,236.0,193,0,8,236.0,
Kayshon Boutte,WR,NE,150.1,158,0,7,199.5,
Travis Hunter,WR,JAC,174.6,198,0,8,184.7,154.0
Nicholas Singleton,RB,TEN,204.0,217,0,8,204.0,
Kimani Vidal,RB,LAC,228.5,185,0,8,228.5,
Houston Texans,DEF,HOU,109.1,182,120.4,8,119.0,89.0
Calvin Ridley,WR,TEN,134.6,183,0,8,203.0,
Tank Dell,WR,HOU,181.0,262,0,9,181.0,
Denver Broncos,DEF,DEN,121.1,187,118.3,8,131.0,101.0
Seattle Seahawks,DEF,SEA,123.3,188,110.9,8,131.3,107.0
Los Angeles Rams,DEF,LAR,108.2,184,107.3,8,118.7,87.0
Geno Smith,QB,NYJ,224.0,201,0,8,224.0,
Aaron Rodgers,QB,PIT,160.7,194,0,8,181.3,119.0
Cade Otton,TE,TB,236.5,200,0,8,236.5,
Philadelphia Eagles,DEF,PHI,144.0,192,102.6,8,148.0,136.0
Pat Freiermuth,TE,PIT,181.9,197,0,8,202.0,141.0
Kaytron Allen,RB,WAS,225.0,207,0,8,225.0,
James Conner,RB,ARI,181.7,238,0,9,199.3,146.0
Jacksonville Jaguars,DEF,JAC,198.3,206,0,8,191.0,213.0
New England Patriots,DEF,NE,163.6,202,0,8,167.3,156.0
Isaac TeSlaa,WR,DET,182.4,216,0,8,203.3,144.0
Pittsburgh Steelers,DEF,PIT,199.0,203,111.9,8,194.0,209.0
Emanuel Wilson,RB,SEA,207.0,248,0,9,207.0,
